game_minute,hit_diff,shot_diff,goal_diff,win,game,win_prob,Game Description
34,-6,-13,4,1,2018020660,0.9933915768067204,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
35,-5,-15,4,1,2018020660,0.9942188643250482,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
36,-6,-18,4,1,2018020660,0.994979953744624,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
37,-6,-17,4,1,2018020660,0.9956447804239456,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
38,-8,-14,4,1,2018020660,0.9962684224426156,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
39,-7,-15,3,1,2018020660,0.9871964582351794,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
40,-6,-15,3,1,2018020660,0.9884150780505212,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
41,-6,-14,3,1,2018020660,0.989585301284356,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
42,-6,-15,3,1,2018020660,0.9906104685879702,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
43,-7,-18,3,1,2018020660,0.9915539052778524,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
44,-7,-18,3,1,2018020660,0.9923982709786112,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
45,-6,-18,3,1,2018020660,0.9931201844623168,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
46,-7,-18,3,1,2018020660,0.9938437248899648,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
47,-8,-19,3,1,2018020660,0.9944835127052668,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
48,-7,-21,3,1,2018020660,0.9949894136729456,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
49,-6,-22,3,1,2018020660,0.9954554728970276,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
50,-6,-18,3,1,2018020660,0.9959400977685308,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
51,-8,-17,3,1,2018020660,0.9964003179496684,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
52,-7,-17,3,1,2018020660,0.996741081205447,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
53,-7,-17,4,1,2018020660,0.9995479439798802,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
54,-7,-18,4,1,2018020660,0.99960680248339,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
55,-7,-17,4,1,2018020660,0.9996593534014812,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
56,-8,-17,4,1,2018020660,0.9997063753122012,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
57,-8,-16,4,1,2018020660,0.999745681736914,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
58,-8,-16,4,1,2018020660,0.9997792741576188,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
59,-10,-14,4,1,2018020660,0.9998120721985976,2019-01-09 - Pittsburgh Penguins beat Florida Panthers
0,0,-1,0,1,2019020092,0.5497955074231653,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
1,0,0,0,1,2019020092,0.5497955074231653,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
2,1,2,0,1,2019020092,0.5497695071313643,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
3,0,3,-1,1,2019020092,0.523536622160054,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
4,0,3,-1,1,2019020092,0.51474738679265,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
5,-1,4,-1,1,2019020092,0.5061523553277064,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
6,-2,7,-1,1,2019020092,0.4977451983548744,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
7,-2,8,-1,1,2019020092,0.4891085156695833,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
8,-2,11,-1,1,2019020092,0.4806433369724845,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
9,-2,11,-1,1,2019020092,0.4719970587129845,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
10,-2,11,-1,1,2019020092,0.463367548149201,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
11,0,10,-1,1,2019020092,0.4539727194956722,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
12,3,9,-1,1,2019020092,0.4440947877531255,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
13,3,11,-1,1,2019020092,0.4356164347309996,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
14,2,10,-1,1,2019020092,0.4272656296710196,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
15,1,8,-1,1,2019020092,0.4188654320453046,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
16,0,8,-1,1,2019020092,0.4108218450350811,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
17,0,9,0,1,2019020092,0.5511858605115625,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
18,0,9,0,1,2019020092,0.5512676212971895,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
